,APXPrice,APXVolume,N2EXPrice,N2EXVolume,settlementDate,settlementPeriod
2016010810,34.16,310.000,0.00,0.000,2016-01-08,10
2016010811,34.75,453.950,0.00,0.000,2016-01-08,11
2016010812,33.13,556.000,0.00,0.000,2016-01-08,12
2016010813,34.91,814.000,0.00,0.000,2016-01-08,13
2016010814,37.06,1003.500,0.00,0.000,2016-01-08,14
2016010815,37.17,1003.200,0.00,0.000,2016-01-08,15
2016010816,42.85,486.050,0.00,0.000,2016-01-08,16
2016010817,50.21,309.300,0.00,0.000,2016-01-08,17
2016010818,49.52,411.250,0.00,0.000,2016-01-08,18
2016010819,50.10,564.600,0.00,0.000,2016-01-08,19
2016010820,52.60,618.100,0.00,0.000,2016-01-08,20
2016010821,52.27,626.700,0.00,0.000,2016-01-08,21
2016010822,49.96,683.050,0.00,0.000,2016-01-08,22
2016010823,52.02,503.500,0.00,0.000,2016-01-08,23
2016010824,44.05,510.400,0.00,0.000,2016-01-08,24
2016010825,40.82,629.450,0.00,0.000,2016-01-08,25
2016010826,38.62,753.350,0.00,0.000,2016-01-08,26
2016010827,34.37,380.550,0.00,0.000,2016-01-08,27
2016010828,33.96,405.800,0.00,0.000,2016-01-08,28
2016010829,34.24,389.200,0.00,0.000,2016-01-08,29
2016010830,33.98,390.450,0.00,0.000,2016-01-08,30
2016010831,37.74,1031.500,0.00,0.000,2016-01-08,31
2016010832,40.67,705.250,0.00,0.000,2016-01-08,32
2016010833,42.45,688.050,0.00,0.000,2016-01-08,33
2016010834,51.97,988.100,0.00,0.000,2016-01-08,34
2016010835,55.30,1161.850,0.00,0.000,2016-01-08,35
2016010836,51.69,1179.850,0.00,0.000,2016-01-08,36
2016010837,48.51,912.450,0.00,0.000,2016-01-08,37
2016010838,46.50,901.250,0.00,0.000,2016-01-08,38
2016010839,37.72,780.650,0.00,0.000,2016-01-08,39
2016010840,37.16,521.250,0.00,0.000,2016-01-08,40
2016010841,35.82,748.050,0.00,0.000,2016-01-08,41
2016010842,36.02,763.600,0.00,0.000,2016-01-08,42
2016010843,35.56,893.900,0.00,0.000,2016-01-08,43
2016010844,35.31,997.700,0.00,0.000,2016-01-08,44
2016010845,35.46,930.400,0.00,0.000,2016-01-08,45
2016010846,35.21,1251.000,0.00,0.000,2016-01-08,46
2016010847,37.09,913.750,0.00,0.000,2016-01-08,47
2016010848,35.27,485.400,0.00,0.000,2016-01-08,48
2016010901,36.12,442.950,0.00,0.000,2016-01-09,1
2016010902,37.13,404.850,0.00,0.000,2016-01-09,2
2016010903,47.75,240.400,0.00,0.000,2016-01-09,3
2016010904,39.80,221.200,0.00,0.000,2016-01-09,4
2016010905,40.00,380.850,0.00,0.000,2016-01-09,5
2016010906,40.70,415.750,0.00,0.000,2016-01-09,6
2016010907,35.87,381.850,0.00,0.000,2016-01-09,7
2016010908,33.62,326.650,0.00,0.000,2016-01-09,8
2016010909,30.50,375.150,0.00,0.000,2016-01-09,9
2016010910,30.61,448.550,0.00,0.000,2016-01-09,10
2016010911,30.81,372.150,0.00,0.000,2016-01-09,11
2016010912,30.90,366.600,0.00,0.000,2016-01-09,12
2016010913,32.42,534.750,0.00,0.000,2016-01-09,13
2016010914,27.30,776.850,0.00,0.000,2016-01-09,14
2016010915,30.50,1165.300,0.00,0.000,2016-01-09,15
2016010916,30.20,905.350,0.00,0.000,2016-01-09,16
2016010917,30.75,538.750,0.00,0.000,2016-01-09,17
2016010918,31.39,280.050,0.00,0.000,2016-01-09,18
2016010919,32.91,394.550,0.00,0.000,2016-01-09,19
2016010920,31.97,504.950,0.00,0.000,2016-01-09,20
2016010921,32.08,685.350,0.00,0.000,2016-01-09,21
2016010922,32.56,628.100,0.00,0.000,2016-01-09,22
2016010923,34.09,607.400,0.00,0.000,2016-01-09,23
2016010924,34.02,735.300,0.00,0.000,2016-01-09,24
2016010925,34.02,724.650,0.00,0.000,2016-01-09,25
2016010926,33.83,742.550,0.00,0.000,2016-01-09,26
2016010927,32.61,587.500,0.00,0.000,2016-01-09,27
2016010928,32.41,608.850,0.00,0.000,2016-01-09,28
2016010929,31.95,544.250,0.00,0.000,2016-01-09,29
2016010930,31.30,641.250,0.00,0.000,2016-01-09,30
2016010931,30.92,810.250,0.00,0.000,2016-01-09,31
2016010932,31.31,721.050,0.00,0.000,2016-01-09,32
2016010933,30.73,634.150,0.00,0.000,2016-01-09,33
2016010934,38.44,474.800,0.00,0.000,2016-01-09,34
2016010935,62.33,435.000,0.00,0.000,2016-01-09,35
2016010936,62.78,544.000,0.00,0.000,2016-01-09,36
2016010937,43.62,556.300,0.00,0.000,2016-01-09,37
2016010938,36.75,707.450,0.00,0.000,2016-01-09,38
2016010939,36.37,800.400,0.00,0.000,2016-01-09,39
2016010940,34.75,739.450,0.00,0.000,2016-01-09,40
2016010941,34.27,994.350,0.00,0.000,2016-01-09,41
2016010942,33.92,1210.550,0.00,0.000,2016-01-09,42
2016010943,33.38,1653.000,0.00,0.000,2016-01-09,43
2016010944,32.93,1650.100,0.00,0.000,2016-01-09,44
2016010945,32.79,1599.550,0.00,0.000,2016-01-09,45
2016010946,32.62,1910.000,0.00,0.000,2016-01-09,46
2016010947,34.12,673.650,0.00,0.000,2016-01-09,47
2016010948,33.06,429.500,0.00,0.000,2016-01-09,48
2016011001,33.82,358.550,0.00,0.000,2016-01-10,1
2016011002,32.88,340.650,0.00,0.000,2016-01-10,2
2016011003,30.62,441.200,0.00,0.000,2016-01-10,3
2016011004,24.02,314.200,0.00,0.000,2016-01-10,4
2016011005,22.61,358.150,0.00,0.000,2016-01-10,5
2016011006,22.41,462.950,0.00,0.000,2016-01-10,6
2016011007,23.43,698.000,0.00,0.000,2016-01-10,7
2016011008,23.93,595.500,0.00,0.000,2016-01-10,8
2016011009,22.98,705.150,0.00,0.000,2016-01-10,9
2016011010,21.94,740.500,0.00,0.000,2016-01-10,10
2016011011,21.91,685.950,0.00,0.000,2016-01-10,11
2016011012,23.16,617.850,0.00,0.000,2016-01-10,12
2016011013,23.37,703.750,0.00,0.000,2016-01-10,13
