,buyPriceAdjustment,indicativeNetImbalanceVolume,reserveScarcityPrice,sellPriceAdjustment,settlementDate,settlementPeriod,systemBuyPrice,systemSellPrice
2016010407,0.00,-231.3749,NULL,0.00,2016-01-04,7,31.00150,31.00150
2016010408,0.00,-315.7405,NULL,0.00,2016-01-04,8,30.20000,30.20000
2016010409,0.00,-443.5416,NULL,0.00,2016-01-04,9,30.20000,30.20000
2016010410,0.00,-440.9315,NULL,0.00,2016-01-04,10,30.20000,30.20000
2016010411,0.00,-417.8231,NULL,0.00,2016-01-04,11,30.20000,30.20000
2016010412,0.00,-604.1490,NULL,0.00,2016-01-04,12,13.00000,13.00000
2016010413,0.00,-543.0724,NULL,0.00,2016-01-04,13,13.00000,13.00000
2016010414,0.00,-87.0039,NULL,0.00,2016-01-04,14,32.94000,32.94000
2016010415,0.00,-482.2416,0.00000,0.00,2016-01-04,15,15.00000,15.00000
2016010416,0.00,-619.1290,0.00000,0.00,2016-01-04,16,27.02000,27.02000
2016010417,0.00,-619.3677,0.00000,0.00,2016-01-04,17,27.50000,27.50000
2016010418,0.00,-643.1863,0.00000,0.00,2016-01-04,18,32.43000,32.43000
2016010419,0.00,-643.8316,0.00000,0.00,2016-01-04,19,34.19000,34.19000
2016010420,0.00,-652.7218,0.00000,0.00,2016-01-04,20,27.50000,27.50000
2016010421,0.00,-487.3572,0.00000,0.00,2016-01-04,21,31.18000,31.18000
2016010422,0.00,-424.9720,0.00000,0.00,2016-01-04,22,31.78000,31.78000
2016010423,0.00,-448.3817,0.00000,0.00,2016-01-04,23,24.00000,24.00000
2016010424,0.00,-249.0593,0.00000,0.00,2016-01-04,24,31.60000,31.60000
2016010425,0.00,-158.6162,0.00000,0.00,2016-01-04,25,32.20000,32.20000
2016010426,0.00,-175.9107,0.00000,0.00,2016-01-04,26,32.20000,32.20000
2016010427,0.00,-258.6166,0.00000,0.00,2016-01-04,27,33.23000,33.23000
2016010428,0.00,-116.5983,NULL,0.00,2016-01-04,28,40.00000,40.00000
2016010429,0.00,-42.5856,NULL,0.00,2016-01-04,29,32.94000,32.94000
2016010430,0.00,137.1258,NULL,0.00,2016-01-04,30,54.85000,54.85000
2016010431,0.00,-36.7168,NULL,0.00,2016-01-04,31,36.14472,36.14472
2016010432,0.00,-303.0345,NULL,0.00,2016-01-04,32,30.10000,30.10000
2016010433,0.00,-145.6485,0.00000,0.00,2016-01-04,33,32.26440,32.26440
2016010434,0.00,-185.9112,0.00000,0.00,2016-01-04,34,32.20000,32.20000
2016010435,0.00,-621.4499,0.00000,0.00,2016-01-04,35,27.16207,27.16207
2016010436,0.00,-689.8033,0.00000,0.00,2016-01-04,36,25.89020,25.89020
2016010437,0.00,-540.2821,0.00000,0.00,2016-01-04,37,30.15000,30.15000
2016010438,0.00,-322.0245,0.00000,0.00,2016-01-04,38,30.94000,30.94000
2016010439,0.00,58.6322,0.00000,0.00,2016-01-04,39,43.80000,43.80000
2016010440,0.00,194.0572,0.00000,0.00,2016-01-04,40,44.43473,44.43473
2016010441,0.00,133.2483,0.00000,0.00,2016-01-04,41,43.80000,43.80000
2016010442,0.00,-11.2465,0.00000,0.00,2016-01-04,42,32.20000,32.20000
2016010443,0.00,80.2715,NULL,0.00,2016-01-04,43,41.15000,41.15000
2016010444,0.00,-167.6377,NULL,0.00,2016-01-04,44,31.76000,31.76000
2016010445,0.00,-59.1929,NULL,0.00,2016-01-04,45,31.15000,31.15000
2016010446,0.00,-91.8841,NULL,0.00,2016-01-04,46,30.53000,30.53000
2016010447,0.00,123.9217,NULL,0.00,2016-01-04,47,41.15000,41.15000
2016010448,0.00,-274.9174,NULL,0.00,2016-01-04,48,30.94000,30.94000
2016010501,0.00,-240.7046,NULL,0.00,2016-01-05,1,30.94000,30.94000
2016010502,0.00,-147.9742,NULL,0.00,2016-01-05,2,31.60000,31.60000
2016010503,0.00,122.6093,NULL,0.00,2016-01-05,3,41.15000,41.15000
2016010504,0.00,75.4869,NULL,0.00,2016-01-05,4,41.15000,41.15000
2016010505,0.00,39.9307,NULL,0.00,2016-01-05,5,41.15000,41.15000
2016010506,0.00,-36.1972,NULL,0.00,2016-01-05,6,32.20000,32.20000
2016010507,0.00,-57.8601,NULL,0.00,2016-01-05,7,32.20000,32.20000
2016010508,0.00,-221.7919,NULL,0.00,2016-01-05,8,31.29211,31.29211
2016010509,0.00,-274.2416,NULL,0.00,2016-01-05,9,30.94000,30.94000
2016010510,0.00,-281.8183,NULL,0.00,2016-01-05,10,30.94000,30.94000
2016010511,0.00,-366.7002,NULL,0.00,2016-01-05,11,30.39684,30.39684
2016010512,0.00,-422.0509,NULL,0.00,2016-01-05,12,30.20000,30.20000
2016010513,0.00,-677.2010,NULL,0.00,2016-01-05,13,26.05000,26.05000
2016010514,0.00,-429.0613,NULL,0.00,2016-01-05,14,30.20000,30.20000
2016010515,0.00,-563.5683,0.00000,0.00,2016-01-05,15,30.20000,30.20000
2016010516,0.00,-302.5100,0.00000,0.00,2016-01-05,16,35.86000,35.86000
2016010517,0.00,74.3521,0.00000,0.00,2016-01-05,17,44.05000,44.05000
2016010518,0.00,-125.7002,0.00000,0.00,2016-01-05,18,31.77160,31.77160
2016010519,0.00,20.3723,0.00000,0.00,2016-01-05,19,44.05000,44.05000
2016010520,0.00,90.5468,0.00000,0.00,2016-01-05,20,45.03000,45.03000
2016010521,0.00,27.0910,0.00000,0.00,2016-01-05,21,45.03000,45.03000
2016010522,0.00,75.6468,0.00000,0.00,2016-01-05,22,45.03000,45.03000
2016010523,0.00,-162.3548,0.00000,0.00,2016-01-05,23,31.60000,31.60000
2016010524,0.00,309.5889,0.00000,0.00,2016-01-05,24,47.50000,47.50000
2016010525,0.00,477.8761,0.00000,0.00,2016-01-05,25,47.50000,47.50000
2016010526,0.00,402.0408,0.00000,0.00,2016-01-05,26,47.50000,47.50000
2016010527,0.00,467.2210,0.00000,0.00,2016-01-05,27,47.50000,47.50000
2016010528,0.00,469.1040,NULL,0.00,2016-01-05,28,47.50000,47.50000
2016010529,0.00,431.5164,NULL,0.00,2016-01-05,29,47.50000,47.50000
2016010530,0.00,323.7152,NULL,0.00,2016-01-05,30,47.50000,47.50000
2016010531,0.00,28.4119,NULL,0.00,2016-01-05,31,42.63160,42.63160
2016010532,0.00,159.7439,NULL,0.00,2016-01-05,32,44.00000,44.00000
2016010533,0.00,136.2563,0.00000,0.00,2016-01-05,33,47.50000,47.50000
2016010534,0.00,173.9910,0.00000,0.00,2016-01-05,34,71.00000,71.00000
2016010535,0.00,144.6864,0.00000,0.00,2016-01-05,35,71.00000,71.00000
2016010536,0.00,20.9383,0.02370,0.00,2016-01-05,36,71.00000,71.00000
2016010537,0.00,277.6652,0.00000,0.00,2016-01-05,37,158.76643,158.76643
2016010538,0.00,-23.0802,0.00000,0.00,2016-01-05,38,32.94000,32.94000
2016010539,0.00,-203.2641,0.00030,0.00,2016-01-05,39,32.20000,32.20000
2016010540,0.00,168.4566,0.00000,0.00,2016-01-05,40,55.00000,55.00000
2016010541,0.00,332.8861,0.00000,0.00,2016-01-05,41,55.00000,55.00000
2016010542,0.00,-31.3073,0.00000,0.00,2016-01-05,42,32.94000,32.94000
2016010543,0.00,13.5547,NULL,0.00,2016-01-05,43,40.23521,40.23521
2016010544,0.00,-144.6558,NULL,0.00,2016-01-05,44,32.01663,32.01663
2016010545,0.00,-303.2582,NULL,0.00,2016-01-05,45,30.32013,30.32013
2016010546,0.00,-439.6953,NULL,0.00,2016-01-05,46,29.11000,29.11000
2016010547,0.00,11.7326,NULL,0.00,2016-01-05,47,47.45000,47.45000
2016010548,0.00,-283.6658,NULL,0.00,2016-01-05,48,26.99445,26.99445
2016010601,0.00,20.5216,NULL,0.00,2016-01-06,1,44.50000,44.50000
2016010602,0.00,13.6615,NULL,0.00,2016-01-06,2,46.60772,46.60772
2016010603,0.00,90.7328,NULL,0.00,2016-01-06,3,49.22378,49.22378
2016010604,0.00,-3.9386,NULL,0.00,2016-01-06,4,32.73000,32.73000
2016010605,0.00,-27.3453,NULL,0.00,2016-01-06,5,31.53000,31.53000
2016010606,0.00,-50.4460,NULL,0.00,2016-01-06,6,40.00000,40.00000
2016010607,0.00,-334.1790,NULL,0.00,2016-01-06,7,14.00000,14.00000
2016010608,0.00,-457.8666,NULL,0.00,2016-01-06,8,14.00000,14.00000
2016010609,0.00,-393.8868,NULL,0.00,2016-01-06,9,20.10000,20.10000
2016010610,0.00,-450.2173,NULL,0.00,2016-01-06,10,25.50000,25.50000
2016010611,0.00,-317.7326,NULL,0.00,2016-01-06,11,31.98000,31.98000
2016010612,0.00,-506.6885,NULL,0.00,2016-01-06,12,28.90322,28.90322
2016010613,0.00,-590.1184,NULL,0.00,2016-01-06,13,28.35898,28.35898
2016010614,0.00,-140.7387,NULL,0.00,2016-01-06,14,31.91207,31.91207
2016010615,0.00,-384.1313,0.00000,0.00,2016-01-06,15,30.94000,30.94000
2016010616,0.00,-77.5738,0.00000,0.00,2016-01-06,16,32.20000,32.20000
2016010617,0.00,32.7779,0.00000,0.00,2016-01-06,17,46.75521,46.75521
2016010618,0.00,-74.7096,0.00000,0.00,2016-01-06,18,30.94000,30.94000
2016010619,0.00,-114.2835,0.00000,0.00,2016-01-06,19,42.41000,42.41000
2016010620,0.00,-245.5406,0.00000,0.00,2016-01-06,20,43.29000,43.29000
2016010621,0.00,-286.0707,0.00000,0.00,2016-01-06,21,30.85660,30.85660
2016010622,0.00,-470.3999,0.00000,0.00,2016-01-06,22,28.70000,28.70000
2016010623,0.00,-504.9918,0.00000,0.00,2016-01-06,23,28.73151,28.73151
2016010624,0.00,-507.9234,0.00000,0.00,2016-01-06,24,28.75000,28.75000
2016010625,0.00,-402.5767,0.00000,0.00,2016-01-06,25,30.94000,30.94000
2016010626,0.00,-368.8585,0.00000,0.00,2016-01-06,26,30.94000,30.94000
2016010627,0.00,-292.5084,0.00000,0.00,2016-01-06,27,30.94000,30.94000
2016010628,0.00,-246.1319,NULL,0.00,2016-01-06,28,30.94000,30.94000
2016010629,0.00,-165.1770,NULL,0.00,2016-01-06,29,31.60000,31.60000
2016010630,0.00,30.6435,NULL,0.00,2016-01-06,30,47.00000,47.00000
2016010631,0.00,-1.2931,NULL,0.00,2016-01-06,31,32.20000,32.20000
2016010632,5.39,-83.0837,NULL,0.00,2016-01-06,32,32.10750,32.10750
2016010633,5.39,-64.0521,0.00000,0.00,2016-01-06,33,32.20000,32.20000
2016010634,5.39,-31.3287,0.00000,0.00,2016-01-06,34,33.54249,33.54249
2016010635,5.39,-274.8222,0.00120,0.00,2016-01-06,35,31.52825,31.52825
2016010636,5.39,-475.5010,0.03630,0.00,2016-01-06,36,30.75000,30.75000
2016010637,5.39,-410.3702,0.03450,0.00,2016-01-06,37,30.75000,30.75000
2016010638,5.39,-581.7642,0.00000,0.00,2016-01-06,38,30.03449,30.03449
2016010639,0.00,-243.4419,0.00000,0.00,2016-01-06,39,31.36591,31.36591
2016010640,0.00,-195.0487,0.00000,0.00,2016-01-06,40,31.60000,31.60000
2016010641,0.00,-41.8357,0.00000,0.00,2016-01-06,41,32.20000,32.20000
2016010642,0.00,-161.5511,0.00000,0.00,2016-01-06,42,31.60000,31.60000
2016010643,0.00,-133.0276,NULL,0.00,2016-01-06,43,31.80367,31.80367
2016010644,0.00,-135.9528,NULL,0.00,2016-01-06,44,34.85000,34.85000
2016010645,0.00,-216.1482,NULL,0.00,2016-01-06,45,34.51000,34.51000
2016010646,0.00,-265.1174,NULL,0.00,2016-01-06,46,31.25000,31.25000
2016010647,0.00,-398.5371,NULL,0.00,2016-01-06,47,25.85591,25.85591
2016010648,0.00,-562.7486,NULL,0.00,2016-01-06,48,17.68000,17.68000
2016010701,0.00,-154.3220,NULL,0.00,2016-01-07,1,32.47762,32.47762
2016010702,0.00,-140.4606,NULL,0.00,2016-01-07,2,32.28833,32.28833
2016010703,0.00,-292.9922,NULL,0.00,2016-01-07,3,30.20000,30.20000
2016010704,0.00,-438.0339,NULL,0.00,2016-01-07,4,30.20000,30.20000
2016010705,0.00,-333.9042,NULL,0.00,2016-01-07,5,30.20000,30.20000
2016010706,0.00,-112.2298,NULL,0.00,2016-01-07,6,32.21024,32.21024
2016010707,0.00,17.0883,NULL,0.00,2016-01-07,7,42.45000,42.45000
2016010708,0.00,-206.7770,NULL,0.00,2016-01-07,8,33.02597,33.02597
2016010709,0.00,-291.3292,NULL,0.00,2016-01-07,9,30.20101,30.20101
2016010710,0.00,-305.5679,NULL,0.00,2016-01-07,10,30.54310,30.54310
2016010711,0.00,-325.4767,NULL,0.00,2016-01-07,11,30.94000,30.94000
2016010712,0.00,-300.8418,NULL,0.00,2016-01-07,12,30.94000,30.94000
2016010713,0.00,-248.9595,NULL,0.00,2016-01-07,13,35.00000,35.00000
2016010714,0.00,-157.6001,NULL,0.00,2016-01-07,14,30.97168,30.97168
2016010715,0.00,-353.7922,0.00000,0.00,2016-01-07,15,30.80988,30.80988
2016010716,0.00,-175.0400,0.00000,0.00,2016-01-07,16,30.94000,30.94000
2016010717,0.00,-58.2922,0.00000,0.00,2016-01-07,17,31.50943,31.50943
2016010718,0.00,-56.8792,0.00000,0.00,2016-01-07,18,32.20000,32.20000
2016010719,0.00,-27.4926,0.00000,0.00,2016-01-07,19,32.20000,32.20000
2016010720,0.00,265.4174,0.00000,0.00,2016-01-07,20,46.25000,46.25000
2016010721,0.00,711.0655,0.00000,0.00,2016-01-07,21,48.45000,48.45000
2016010722,0.00,686.6494,0.00000,0.00,2016-01-07,22,48.09410,48.09410
2016010723,0.00,1207.0072,0.00000,0.00,2016-01-07,23,119.78217,119.78217
2016010724,0.00,1078.9189,0.00000,0.00,2016-01-07,24,48.50000,48.50000
2016010725,0.00,969.3587,0.00000,0.00,2016-01-07,25,48.45534,48.45534
2016010726,0.00,860.2552,0.00000,0.00,2016-01-07,26,48.45000,48.45000
2016010727,0.00,698.4255,0.00000,0.00,2016-01-07,27,48.45000,48.45000
2016010728,0.00,344.1239,NULL,0.00,2016-01-07,28,47.98696,47.98696
2016010729,0.00,-48.2040,NULL,0.00,2016-01-07,29,34.23303,34.23303
2016010730,0.00,-213.0725,NULL,0.00,2016-01-07,30,32.94000,32.94000
2016010731,0.00,-652.1839,NULL,0.00,2016-01-07,31,28.21643,28.21643
2016010732,0.00,-862.8099,NULL,0.00,2016-01-07,32,27.60000,27.60000
2016010733,0.00,-479.3472,0.00000,0.00,2016-01-07,33,28.90000,28.90000
2016010734,0.00,373.4176,0.00000,0.00,2016-01-07,34,75.00000,75.00000
2016010735,0.00,368.8844,0.00000,0.00,2016-01-07,35,72.85350,72.85350
2016010736,0.00,147.2949,0.00000,0.00,2016-01-07,36,62.60413,62.60413
