,settlementPeriod,settlementDate,APXPrice,APXVolume
2016010917,17,1/9/2016,30.93,6348.1
2016010918,18,1/9/2016,30.93,6348.1
2016010919,19,1/9/2016,37.04,6393.8
2016010920,20,1/9/2016,37.04,6393.8
2016010921,21,1/9/2016,41.01,6405
2016010922,22,1/9/2016,41.01,6405
2016010923,23,1/9/2016,41.01,6098.2
2016010924,24,1/9/2016,41.01,6098.2
2016010925,25,1/9/2016,41,6009.3
2016010926,26,1/9/2016,41,6009.3
2016010927,27,1/9/2016,41,5901.8
2016010928,28,1/9/2016,41,5901.8
2016010929,29,1/9/2016,32.95,5833.2
2016010930,30,1/9/2016,32.95,5833.2
2016010931,31,1/9/2016,32.51,6281
2016010932,32,1/9/2016,32.51,6281
2016010933,33,1/9/2016,44.01,5663.1
2016010934,34,1/9/2016,44.01,5663.1
2016010935,35,1/9/2016,68.23,5715.2
2016010936,36,1/9/2016,68.23,5715.2
2016010937,37,1/9/2016,52,5755.8
2016010938,38,1/9/2016,52,5755.8
2016010939,39,1/9/2016,40.6,6026.3
2016010940,40,1/9/2016,40.6,6026.3
2016010941,41,1/9/2016,36.13,5861.4
2016010942,42,1/9/2016,36.13,5861.4
2016010943,43,1/9/2016,36.86,6163.1
2016010944,44,1/9/2016,36.86,6163.1
2016010945,45,1/9/2016,35.01,6147.4
2016010946,46,1/9/2016,35.01,6147.4
2016011047,47,1/10/2016,40.04,5646.7
2016011048,48,1/10/2016,40.04,5646.7
2016011001,1,1/10/2016,40.06,5611.8
2016011002,2,1/10/2016,40.06,5611.8
2016011003,3,1/10/2016,42.06,5598.9
2016011004,4,1/10/2016,42.06,5598.9
2016011005,5,1/10/2016,34.66,5899.1
2016011006,6,1/10/2016,34.66,5899.1
2016011007,7,1/10/2016,28.47,5959.4
2016011008,8,1/10/2016,28.47,5959.4
2016011009,9,1/10/2016,23.04,5557.4
2016011010,10,1/10/2016,23.04,5557.4
2016011011,11,1/10/2016,23.99,5574.3
2016011012,12,1/10/2016,23.99,5574.3
2016011013,13,1/10/2016,22.74,5622.5
2016011014,14,1/10/2016,22.74,5622.5
2016011015,15,1/10/2016,27.95,7218.9
2016011016,16,1/10/2016,27.95,7218.9
2016011017,17,1/10/2016,27.52,6351.8
2016011018,18,1/10/2016,27.52,6351.8
2016011019,19,1/10/2016,30.89,6017.6
2016011020,20,1/10/2016,30.89,6017.6
2016011021,21,1/10/2016,32.94,5623.5
2016011022,22,1/10/2016,32.94,5623.5
2016011023,23,1/10/2016,38.6,5732
2016011024,24,1/10/2016,38.6,5732
2016011025,25,1/10/2016,40.06,5707.2
2016011026,26,1/10/2016,40.06,5707.2
2016011027,27,1/10/2016,39.06,5590.9
2016011028,28,1/10/2016,39.06,5590.9
2016011029,29,1/10/2016,33.07,5758.3
2016011030,30,1/10/2016,33.07,5758.3
2016011031,31,1/10/2016,31.32,5782.2
2016011032,32,1/10/2016,31.32,5782.2
2016011033,33,1/10/2016,40.59,6112.4
2016011034,34,1/10/2016,40.59,6112.4
2016011035,35,1/10/2016,69.6,5972.5
2016011036,36,1/10/2016,69.6,5972.5
2016011037,37,1/10/2016,51.62,6069.3
2016011038,38,1/10/2016,51.62,6069.3
2016011039,39,1/10/2016,35.99,6400.4
2016011040,40,1/10/2016,35.99,6400.4
2016011041,41,1/10/2016,33.58,5837.4
2016011042,42,1/10/2016,33.58,5837.4
2016011043,43,1/10/2016,33.07,6702.2
2016011044,44,1/10/2016,33.07,6702.2
2016011045,45,1/10/2016,30,6895.2
2016011046,46,1/10/2016,30,6895.2
2016011147,47,1/11/2016,31,5303.7
2016011148,48,1/11/2016,31,5303.7
2016011101,1,1/11/2016,30.96,5294.3
2016011102,2,1/11/2016,30.96,5294.3
2016011103,3,1/11/2016,31.93,5364.7
