,quantity,settlementDate,settlementPeriod
2016011332,49683,2016-01-13,32
2016011331,49048,2016-01-13,31
2016011330,48284,2016-01-13,30
2016011329,47956,2016-01-13,29
2016011328,48005,2016-01-13,28
2016011327,48246,2016-01-13,27
2016011326,48566,2016-01-13,26
2016011325,48696,2016-01-13,25
2016011324,48887,2016-01-13,24
2016011323,48822,2016-01-13,23
2016011322,48717,2016-01-13,22
2016011321,48410,2016-01-13,21
2016011320,48265,2016-01-13,20
2016011319,48149,2016-01-13,19
2016011318,47944,2016-01-13,18
2016011317,47702,2016-01-13,17
2016011316,46812,2016-01-13,16
2016011315,45377,2016-01-13,15
2016011314,40068,2016-01-13,14
2016011313,35400,2016-01-13,13
2016011312,32541,2016-01-13,12
2016011311,31027,2016-01-13,11
2016011310,30674,2016-01-13,10
2016011309,30722,2016-01-13,9
2016011308,30859,2016-01-13,8
2016011307,31192,2016-01-13,7
2016011306,31467,2016-01-13,6
2016011305,31538,2016-01-13,5
2016011304,31935,2016-01-13,4
2016011303,32136,2016-01-13,3
2016011302,32228,2016-01-13,2
2016011301,32216,2016-01-13,1
2016011448,32164,2016-01-14,48
2016011447,35829,2016-01-14,47
2016011446,40932,2016-01-14,46
2016011445,42474,2016-01-14,45
2016011444,43695,2016-01-14,44
2016011443,44509,2016-01-14,43
2016011442,46376,2016-01-14,42
2016011441,47690,2016-01-14,41
2016011440,48675,2016-01-14,40
2016011439,49930,2016-01-14,39
2016011438,51229,2016-01-14,38
2016011437,51543,2016-01-14,37
2016011436,51575,2016-01-14,36
2016011435,51619,2016-01-14,35
2016011434,51216,2016-01-14,34
2016011433,50950,2016-01-14,33
2016011432,50390,2016-01-14,32
2016011431,49529,2016-01-14,31
2016011430,48433,2016-01-14,30
2016011429,48022,2016-01-14,29
2016011428,47975,2016-01-14,28
2016011427,47979,2016-01-14,27
2016011426,48016,2016-01-14,26
2016011425,48051,2016-01-14,25
2016011424,47974,2016-01-14,24
2016011423,47833,2016-01-14,23
2016011422,47704,2016-01-14,22
2016011421,47418,2016-01-14,21
2016011420,47201,2016-01-14,20
2016011419,46926,2016-01-14,19
2016011418,46465,2016-01-14,18
2016011417,45992,2016-01-14,17
2016011416,44935,2016-01-14,16
2016011415,43211,2016-01-14,15
2016011414,38212,2016-01-14,14
2016011413,35172,2016-01-14,13
2016011412,32930,2016-01-14,12
2016011411,32326,2016-01-14,11
2016011410,31857,2016-01-14,10
2016011409,31612,2016-01-14,9
2016011408,31595,2016-01-14,8
2016011407,31614,2016-01-14,7
2016011406,31736,2016-01-14,6
2016011405,31624,2016-01-14,5
2016011404,31538,2016-01-14,4
2016011403,31419,2016-01-14,3
2016011402,31632,2016-01-14,2
2016011401,31841,2016-01-14,1
2016011548,32255,2016-01-15,48
2016011547,35945,2016-01-15,47
2016011546,40308,2016-01-15,46
2016011545,41743,2016-01-15,45
2016011544,42945,2016-01-15,44
2016011543,44331,2016-01-15,43
2016011542,46100,2016-01-15,42
2016011541,47890,2016-01-15,41
2016011540,49814,2016-01-15,40
2016011539,51155,2016-01-15,39
