,drm2HourForecast,lolp1HourForecast,settlementDate,settlementPeriod
2016010714,24221.8460000,0.000000000,2016-01-07,14
2016010715,21394.1970000,0.000000000,2016-01-07,15
2016010716,17614.5450000,0.000000000,2016-01-07,16
2016010717,15154.2250000,0.000000000,2016-01-07,17
2016010718,13219.9080000,0.000000000,2016-01-07,18
2016010719,13233.4040000,0.000000000,2016-01-07,19
2016010720,11306.1810000,0.000000000,2016-01-07,20
2016010721,10430.4540000,0.000000000,2016-01-07,21
2016010722,10207.7150000,0.000000000,2016-01-07,22
2016010723,10576.9220000,0.000000000,2016-01-07,23
2016010724,10171.5050000,0.000000000,2016-01-07,24
2016010725,9790.3800000,0.000000000,2016-01-07,25
2016010726,9269.1860000,0.000000000,2016-01-07,26
2016010727,9319.6700000,0.000000000,2016-01-07,27
2016010728,8714.2890000,0.000000000,2016-01-07,28
2016010729,8611.7920000,0.000000000,2016-01-07,29
2016010730,8489.5840000,0.000000000,2016-01-07,30
2016010731,9182.4010000,0.000000000,2016-01-07,31
2016010732,9653.3230000,0.000000000,2016-01-07,32
2016010733,8596.4890000,0.000000000,2016-01-07,33
2016010734,6522.0596000,0.000000000,2016-01-07,34
2016010735,5011.4478000,0.000000000,2016-01-07,35
2016010736,4675.4260000,0.000000000,2016-01-07,36
2016010737,5058.3643000,0.000000000,2016-01-07,37
2016010738,5892.3290000,0.000000000,2016-01-07,38
2016010739,6031.4660000,0.000000000,2016-01-07,39
2016010740,6432.3790000,0.000000000,2016-01-07,40
2016010741,5055.1790000,0.000000000,2016-01-07,41
2016010742,5842.1870000,0.000000000,2016-01-07,42
2016010743,7691.5024000,0.000000000,2016-01-07,43
2016010744,8944.7790000,0.000000000,2016-01-07,44
2016010745,11335.5220000,0.000000000,2016-01-07,45
2016010746,13180.1420000,0.000000000,2016-01-07,46
2016010747,16128.7390000,0.000000000,2016-01-07,47
2016010748,19553.1970000,0.000000000,2016-01-07,48
2016010801,21108.1860000,0.000000000,2016-01-08,1
2016010802,22839.6820000,0.000000000,2016-01-08,2
2016010803,21731.9820000,0.000000000,2016-01-08,3
2016010804,21462.8000000,0.000000000,2016-01-08,4
2016010805,21439.2580000,0.000000000,2016-01-08,5
2016010806,22350.0080000,0.000000000,2016-01-08,6
2016010807,22000.1150000,0.000000000,2016-01-08,7
2016010808,22495.4960000,0.000000000,2016-01-08,8
2016010809,22707.2190000,0.000000000,2016-01-08,9
2016010810,22337.2990000,0.000000000,2016-01-08,10
2016010811,22350.1250000,0.000000000,2016-01-08,11
2016010812,21758.7420000,0.000000000,2016-01-08,12
2016010813,20430.2680000,0.000000000,2016-01-08,13
2016010814,17200.1930000,0.000000000,2016-01-08,14
2016010815,14580.6090000,0.000000000,2016-01-08,15
2016010816,9168.2260000,0.000000000,2016-01-08,16
2016010817,7323.7627000,0.000000000,2016-01-08,17
2016010818,6148.5005000,0.000000000,2016-01-08,18
2016010819,6770.5117000,0.000000000,2016-01-08,19
2016010820,5781.8960000,0.000000000,2016-01-08,20
2016010821,6306.3570000,0.000000000,2016-01-08,21
2016010822,5435.5176000,0.000000000,2016-01-08,22
2016010823,5968.8850000,0.000000000,2016-01-08,23
2016010824,6166.2524000,0.000000000,2016-01-08,24
2016010825,6339.8570000,0.000000000,2016-01-08,25
2016010826,7082.9805000,0.000000000,2016-01-08,26
2016010827,7111.8170000,0.000000000,2016-01-08,27
2016010828,7067.1104000,0.000000000,2016-01-08,28
2016010829,7362.8135000,0.000000000,2016-01-08,29
2016010830,8741.6990000,0.000000000,2016-01-08,30
2016010831,9031.0320000,0.000000000,2016-01-08,31
2016010832,9347.4980000,0.000000000,2016-01-08,32
2016010833,8708.9920000,0.000000000,2016-01-08,33
2016010834,6007.1860000,0.000000000,2016-01-08,34
2016010835,3299.7690000,0.000001400,2016-01-08,35
2016010836,2394.6604000,0.000328200,2016-01-08,36
2016010837,2434.5715000,0.000582800,2016-01-08,37
2016010838,3021.4438000,0.000040300,2016-01-08,38
2016010839,3567.6267000,0.000000300,2016-01-08,39
2016010840,4647.3687000,0.000000000,2016-01-08,40
2016010841,5299.2017000,0.000000000,2016-01-08,41
2016010842,6003.7070000,0.000000000,2016-01-08,42
2016010843,6644.6200000,0.000000000,2016-01-08,43
2016010844,8184.4395000,0.000000000,2016-01-08,44
2016010845,9946.0740000,0.000000000,2016-01-08,45
2016010846,12538.4310000,0.000000000,2016-01-08,46
2016010847,14183.1230000,0.000000000,2016-01-08,47
2016010848,15543.8360000,0.000000000,2016-01-08,48
2016010901,17718.2480000,0.000000000,2016-01-09,1
2016010902,18753.3850000,0.000000000,2016-01-09,2
