,TSDF,settlementDate,settlementPeriod
2016011533,46700,1/15/2016,33
2016011534,49084,1/15/2016,34
2016011535,49999,1/15/2016,35
2016011536,49695,1/15/2016,36
2016011537,49656,1/15/2016,37
2016011538,49250,1/15/2016,38
2016011539,48103,1/15/2016,39
2016011540,46528,1/15/2016,40
2016011541,45009,1/15/2016,41
2016011542,43097,1/15/2016,42
2016011543,41389,1/15/2016,43
2016011544,39204,1/15/2016,44
2016011545,37284,1/15/2016,45
2016011546,35644,1/15/2016,46
2016011547,33739,1/15/2016,47
2016011548,32655,1/15/2016,48
2016011601,32743,1/16/2016,1
2016011602,33273,1/16/2016,2
2016011603,33462,1/16/2016,3
2016011604,32706,1/16/2016,4
2016011605,32675,1/16/2016,5
2016011606,32475,1/16/2016,6
2016011607,32083,1/16/2016,7
2016011608,31656,1/16/2016,8
2016011609,31400,1/16/2016,9
2016011610,31177,1/16/2016,10
2016011611,31194,1/16/2016,11
2016011612,31344,1/16/2016,12
2016011613,31719,1/16/2016,13
2016011614,32040,1/16/2016,14
2016011615,33817,1/16/2016,15
2016011616,35381,1/16/2016,16
2016011617,37292,1/16/2016,17
2016011618,39400,1/16/2016,18
2016011619,40761,1/16/2016,19
2016011620,41186,1/16/2016,20
2016011621,41268,1/16/2016,21
2016011622,41194,1/16/2016,22
2016011623,41193,1/16/2016,23
2016011624,40940,1/16/2016,24
2016011625,41139,1/16/2016,25
2016011626,40839,1/16/2016,26
2016011627,40427,1/16/2016,27
2016011628,40043,1/16/2016,28
2016011629,40102,1/16/2016,29
2016011630,40038,1/16/2016,30
2016011631,40444,1/16/2016,31
2016011632,41039,1/16/2016,32
2016011633,42273,1/16/2016,33
2016011634,45189,1/16/2016,34
2016011635,47707,1/16/2016,35
2016011636,47985,1/16/2016,36
2016011637,47551,1/16/2016,37
2016011638,47514,1/16/2016,38
2016011639,45775,1/16/2016,39
2016011640,43857,1/16/2016,40
2016011641,42433,1/16/2016,41
2016011642,40904,1/16/2016,42
2016011643,39257,1/16/2016,43
2016011644,37675,1/16/2016,44
2016011645,36256,1/16/2016,45
2016011646,35075,1/16/2016,46
2016011647,33430,1/16/2016,47
