,ITSDO,settlementDate,settlementPeriod
2016011111,28642,2016-01-11,11
2016011112,29405,2016-01-11,12
2016011113,32314,2016-01-11,13
2016011114,35738,2016-01-11,14
2016011115,40096,2016-01-11,15
2016011116,42551,2016-01-11,16
2016011117,43924,2016-01-11,17
2016011118,43895,2016-01-11,18
2016011119,44718,2016-01-11,19
2016011120,45206,2016-01-11,20
2016011121,45198,2016-01-11,21
2016011122,45177,2016-01-11,22
2016011123,45197,2016-01-11,23
2016011124,45279,2016-01-11,24
2016011125,45498,2016-01-11,25
2016011126,45352,2016-01-11,26
2016011127,45302,2016-01-11,27
2016011128,45066,2016-01-11,28
2016011129,45014,2016-01-11,29
2016011130,45033,2016-01-11,30
2016011131,45179,2016-01-11,31
2016011132,46430,2016-01-11,32
2016011133,47935,2016-01-11,33
2016011134,49268,2016-01-11,34
2016011135,49932,2016-01-11,35
2016011136,49666,2016-01-11,36
2016011137,49348,2016-01-11,37
2016011138,49131,2016-01-11,38
2016011139,48204,2016-01-11,39
2016011140,46901,2016-01-11,40
2016011141,45120,2016-01-11,41
2016011142,43272,2016-01-11,42
2016011143,41212,2016-01-11,43
2016011144,38544,2016-01-11,44
2016011145,36051,2016-01-11,45
2016011146,33961,2016-01-11,46
2016011147,31494,2016-01-11,47
2016011148,29959,2016-01-11,48
2016011201,30166,2016-01-12,1
2016011202,30851,2016-01-12,2
2016011203,31080,2016-01-12,3
2016011204,30646,2016-01-12,4
2016011205,30232,2016-01-12,5
2016011206,30192,2016-01-12,6
2016011207,29819,2016-01-12,7
2016011208,29100,2016-01-12,8
2016011209,28838,2016-01-12,9
2016011210,28790,2016-01-12,10
2016011211,29260,2016-01-12,11
2016011212,30357,2016-01-12,12
2016011213,32446,2016-01-12,13
2016011214,35513,2016-01-12,14
2016011215,39960,2016-01-12,15
2016011216,42125,2016-01-12,16
2016011217,42891,2016-01-12,17
2016011218,42721,2016-01-12,18
2016011219,43203,2016-01-12,19
2016011220,43221,2016-01-12,20
2016011221,42980,2016-01-12,21
2016011222,42853,2016-01-12,22
2016011223,43174,2016-01-12,23
2016011224,43426,2016-01-12,24
