,FossilGas,APXPrice,Total_RENE,TSDF
2016010819,19637.0,39.0,4394.859,44656.0
2016010820,19298.0,39.0,4580.859,44913.0
2016010821,19298.0,38.96,4813.0689999999995,44651.0
2016010822,19017.0,38.96,5025.0689999999995,44340.0
2016010823,19160.0,38.13,5219.276,44274.0
2016010824,18804.0,38.13,5382.276,44122.0
2016010825,19020.0,38.98,5469.513,44121.0
2016010826,18917.0,38.98,5511.513,43759.0
2016010827,18578.0,38.95,5020.415,42553.0
2016010828,18949.0,38.95,4922.415,42524.0
2016010829,18967.0,38.0,4579.849,42612.0
2016010830,18960.0,38.0,4401.849,42464.0
2016010831,18796.0,30.67,3851.1430000000005,42670.0
2016010832,19536.0,30.67,3618.1430000000005,43758.0
2016010833,20600.0,47.03,3212.67,45748.0
2016010834,21139.0,47.03,3063.67,48186.0
2016010835,21457.0,81.0,2810.1780000000003,49271.0
2016010836,21408.0,81.0,2789.1780000000003,48920.0
2016010837,21802.0,50.0,2587.061,48496.0
2016010838,21628.0,50.0,2587.061,47494.0
2016010839,21412.0,47.1,2643.594,45950.0
2016010840,20035.0,47.1,2643.594,44366.0
2016010841,18946.0,35.94,2508.464,42843.0
2016010842,18246.0,35.94,2508.464,41407.0
2016010843,17857.0,36.54,2382.487,39859.0
2016010844,17145.0,36.54,2382.487,37895.0
2016010845,15062.0,36.51,2271.1369999999997,36098.0
2016010846,13086.0,36.51,2271.1369999999997,34527.0
2016010847,11956.0,30.56,2159.292,32662.0
2016010848,10824.0,30.56,2159.292,31507.0
2016010901,10585.0,41.02,2949.129,30738.0
2016010902,10537.0,41.02,2949.129,31304.0
2016010903,10797.0,41.04,2988.736,31327.0
2016010904,10265.0,41.04,2988.736,30757.0
2016010905,9975.0,32.82,3108.3070000000002,30502.0
2016010906,10343.0,32.82,3108.3070000000002,30650.0
2016010907,9819.0,31.01,3285.62,29974.0
2016010908,9170.0,31.01,3285.62,29304.0
2016010909,8445.0,27.54,3473.067,28697.0
2016010910,7846.0,27.54,3473.067,28304.0
2016010911,7827.0,27.41,3781.46,28255.0
2016010912,7787.0,27.41,3781.46,28574.0
2016010913,8748.0,30.57,4169.516,29585.0
2016010914,8775.0,30.57,4169.516,29661.0
2016010915,8602.0,30.19,4645.339,30687.0
2016010916,9730.0,30.19,4645.339,31955.0
2016010917,10923.0,30.93,5445.227999999999,33596.0
2016010918,12365.0,30.93,5489.227999999999,35600.0
2016010919,13359.0,37.04,6144.671,37109.0
2016010920,14342.0,37.04,6248.671,37541.0
2016010921,15035.0,41.01,6175.095,38120.0
2016010922,15102.0,41.01,6300.095,38542.0
2016010923,15056.0,41.01,6682.56,38795.0
2016010924,15105.0,41.01,6773.56,39077.0
2016010925,14910.0,41.0,6961.54,38336.0
2016010926,14896.0,41.0,6971.54,38294.0
2016010927,14937.0,41.0,7019.148999999999,38045.0
2016010928,14871.0,41.0,6945.148999999999,37673.0
2016010929,14727.0,32.95,6783.323,37616.0
